来源(Source),分类(Namespace),键名(Key),中文(ZH),英文(EN),法语(FR),德语(DE),日语(JA),韩语(KO),备注(Context)
web,login,login.forgotPasswordHint,功能开发中，请通过邮箱客服找回密码,Feature under development. Please contact support via email to reset password.,,,,,
web,login,login.getCode,获取验证码,Get Code,,,,,
web,login,login.goLogin,去登录,Login,,,,,
web,login,login.goRegister,去注册,Register,,,,,
web,login,login.googleLoginFailed,Google 登录失败，请重试,"Google login failed, please try again",,,,,
web,login,login.googleSetPasswordPrompt,检测到您通过 Google 登录，建议设置独立密码，以便日后使用邮箱+密码直接登录,You logged in via Google. Setting a separate password lets you log in with email + password directly.,,,,,
web,login,login.googleSetPasswordWarning,为了账户安全，建议不要与您的 Google 账户密码一致,"For security, we recommend using a different password from your Google account.",,,,,
web,login,login.hasAccount,已有账号？,Already have an account?,,,,,
web,login,login.headline,解锁你的宝库,Unlock Your Collection,,,,,
web,login,login.invalidAccountFormat,请输入有效的邮箱地址,Please enter a valid email address,,,,,
web,login,login.invalidEmailFormat,请输入有效的邮箱地址,Please enter a valid email address,,,,,
web,login,login.langZh,中文,中文,,,,,
web,login,login.loggingIn,登录中...,Logging in...,,,,,
web,login,login.login,登录,Login,,,,,
web,login,login.loginFailed,登录失败,Login failed,,,,,
web,login,login.noAccount,没有账号？,No account?,,,,,
web,login,login.otherLoginMethods,其他登录方式,Other Login Methods,,,,,
web,login,login.password,密码,Password,,,,,
web,login,login.passwordHint,至少8位，包含英文大小写和数字,"At least 8 chars with uppercase, lowercase, and numbers",,,,,
web,login,login.passwordMinLength,密码至少8位，且包含英文大小写和数字,"Password must be at least 8 characters with uppercase, lowercase, and numbers",,,,,
web,login,login.passwordMismatch,两次密码不一致,Passwords do not match,,,,,
web,login,login.passwordPlaceholder,输入密码,Enter password,,,,,
web,login,login.privacyLink,《隐私政策》,Privacy Policy,,,,,
web,login,login.register,注册,Register,,,,,
web,login,login.registerFailed,注册失败,Registration failed,,,,,
web,login,login.registerSuccess,注册成功,Registration successful,,,,,
web,login,login.registerTitle,注册,Register,,,,,
web,login,login.registering,注册中...,Registering...,,,,,
web,login,login.sendCodeFailed,发送验证码失败,Failed to send verification code,,,,,
web,login,login.subHeadline,把来自抖音、小红书、B站、淘宝等平台的内容，整理成属于你自己的私人收藏馆。,"Save content from X, TikTok, YouTube, Amazon and more into your personal collection.",,,,,
web,login,login.termsAnd,和,and,,,,,
web,login,login.termsLink,《服务条款》,Terms of Service,,,,,
web,login,login.termsNotice,登录即表示同意《服务条款》和《隐私政策》,"By logging in, you agree to the Terms of Service and Privacy Policy",,,,,
web,login,login.termsPrefix,登录即表示同意,"By logging in, you agree to the",,,,,
web,login,login.termsSuffix,,,,,,,
web,login,login.title,登录,Login,,,,,
web,login,login.username,用户名,Username,,,,,
web,login,login.usernamePlaceholder,输入用户名,Enter username,,,,,
web,login,login.welcomeBack,欢迎回来,Welcome back,,,,,
web,login,login.yourCodeIs,您的验证码是：{code},Your verification code is: {code},,,,,
web,nav,nav.addCollection,添加收藏,Add Bookmark,,,,,
web,nav,nav.collections,收藏,Collections,,,,,
web,nav,nav.groups,分组,Groups,,,,,
web,nav,nav.settings,设置,Settings,,,,,
web,nav,nav.shares,分享,Shares,,,,,
web,privacy,privacy.title,隐私政策,Privacy Policy,,,,,
web,settings,settings.appDownload,APP 下载,APP Download,,,,,
web,settings,settings.appDownloadDesc,下载 链藏 APP，收藏并分享你的宝藏,Download LinkChest APP — Collect and share your treasures,,,,,
web,settings,settings.collectionCount,{count} 个收藏,{count} bookmarks,,,,,
web,settings,settings.collections,收藏,Collections,,,,,
web,settings,settings.createTag,新建标签,New Tag,,,,,
web,settings,settings.csvEmptyOrInvalid,CSV 文件为空或格式不正确,CSV file is empty or incorrectly formatted,,,,,
web,settings,settings.csvMissingUrl,"CSV 文件缺少""链接""列","CSV file missing ""URL"" column",,,,,
web,settings,settings.deleteTagConfirm,确定删除此标签？,Delete this tag?,,,,,
web,settings,settings.description,管理你的收藏数据,Manage your bookmark data,,,,,
web,settings,settings.downloadApk,下载 APK,Download APK,,,,,
web,settings,settings.ecommerce,电商,E-commerce,,,,,
web,settings,settings.editTag,编辑标签,Edit Tag,,,,,
web,settings,settings.exportCsv,导出 CSV,Export CSV,,,,,
web,settings,settings.exportFailed,导出失败,Export failed,,,,,
web,settings,settings.exportHtml,导出 HTML 书签,Export HTML Bookmarks,,,,,
web,settings,settings.groups,分组,Groups,,,,,
web,settings,settings.htmlEmptyOrInvalid,HTML 文件为空或格式不正确,HTML file is empty or incorrectly formatted,,,,,
web,settings,settings.importComplete,导入完成：成功 {success}，跳过 {skipped}，失败 {error},"Import complete: {success} succeeded, {skipped} skipped, {error} failed",,,,,
web,settings,settings.importConfirm,将导入 {count} 条收藏，重复URL将跳过。继续？,Will import {count} bookmarks. Duplicate URLs will be skipped. Continue?,,,,,
web,settings,settings.importCsv,导入 CSV,Import CSV,,,,,
web,settings,settings.importExport,导入 / 导出,Import / Export,,,,,
web,settings,settings.importFailed,导入失败,Import failed,,,,,
web,settings,settings.importFormatCsv,CSV 格式,CSV Format,,,,,
web,settings,settings.importFormatHtml,HTML 书签格式,HTML Bookmark Format,,,,,
web,settings,settings.importHtml,导入 HTML 书签,Import HTML Bookmarks,,,,,
web,settings,settings.importNetworkError,导入失败：无法连接到服务器，请检查网络连接或服务器状态。,Import failed: Cannot connect to server. Please check network or server status.,,,,,
web,settings,settings.importProgress,导入进度,Import Progress,,,,,
web,settings,settings.importSelectFile,选择文件,Select File,,,,,
web,settings,settings.language,语言,Language,,,,,
web,settings,settings.languageEn,English,English,,,,,
web,settings,settings.languageZh,中文,中文,,,,,
web,settings,settings.legal,法律信息,Legal,,,,,
web,settings,settings.newTag,新建,New,,,,,
web,settings,settings.noStatsHint,暂无平台统计数据,No platform statistics yet,,,,,
web,settings,settings.noTags,暂无标签,No tags yet,,,,,
web,settings,settings.noTagsHint,用标签给你的收藏打上关键词吧,Add tags to label your bookmarks,,,,,
web,settings,settings.noValidData,未找到有效的收藏数据,No valid bookmark data found,,,,,
web,settings,settings.platformStats,平台统计,Platform Stats,,,,,
web,settings,settings.shareViews,分享浏览,Share Views,,,,,
web,settings,settings.shares,分享,Shares,,,,,
web,settings,settings.stats,数据统计,Statistics,,,,,
web,settings,settings.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）","Tag ""{name}"" already exists. Create anyway? (will auto-rename)",,,,,
web,settings,settings.tagManagement,标签管理,Tag Management,,,,,
web,settings,settings.tagName,标签名称,Tag Name,,,,,
web,settings,settings.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{newName}""","Tag ""{originalName}"" already exists, auto-renamed to ""{newName}""",,,,,
web,settings,settings.tags,标签,Tags,,,,,
web,settings,settings.title,收藏设置,Settings,,,,,
web,share,share.copy,复制,Copy,,,,,
web,share,share.copyFailed,复制失败,Copy failed,,,,,
web,share,share.copyLink,复制链接,Copy Link,,,,,
web,share,share.create.1day,1天,1 Day,,,,,
web,share,share.create.1hour,1小时,1 Hour,,,,,
web,share,share.create.1week,1周,1 Week,,,,,
web,share,share.create.accessPassword,访问密码（可选）,Access Password (optional),,,,,
web,share,share.create.allCollections,全部收藏,All Collections,,,,,
web,share,share.create.cancel,取消,Cancel,,,,,
web,share,share.create.collection,收藏,Bookmark,,,,,
web,share,share.create.collectionShare,{count}个收藏分享,{count} Bookmarks Share,,,,,
web,share,share.create.copyFailed,复制失败，请手动复制链接,"Copy failed, please copy manually",,,,,
web,share,share.create.copyLink,复制链接,Copy Link,,,,,
web,share,share.create.copyToShare,复制下方链接分享给朋友,Copy the link below to share,,,,,
web,share,share.create.createFailed,创建分享失败,Failed to create share,,,,,
web,share,share.create.done,完成,Done,,,,,
web,share,share.create.forever,永久,Forever,,,,,
web,share,share.create.generateLink,生成分享链接,Generate Share Link,,,,,
web,share,share.create.group,分组,Group,,,,,
web,share,share.create.groupShare,分组分享,Group Share,,,,,
web,share,share.create.groupsShare,{count}个分组分享,{count} Groups Share,,,,,
web,share,share.create.linkCopied,链接已复制,Link copied,,,,,
web,share,share.create.linkGenerated,分享链接已生成,Share link generated,,,,,
web,share,share.create.multiSelectCollections,多选收藏,Multi-select,,,,,
web,share,share.create.multiSelectGroups,多选分组,Multi-select,,,,,
web,share,share.create.multiSelectTags,多选标签,Multi-select,,,,,
web,share,share.create.noCollections,暂无收藏,No bookmarks yet,,,,,
web,share,share.create.noGroups,暂无分组,No groups yet,,,,,
web,share,share.create.noMatchCollections,未找到匹配的收藏,No matching bookmarks,,,,,
web,share,share.create.noPasswordPublic,不设密码则公开访问,No password = public access,,,,,
web,share,share.create.noTags,暂无标签,No tags yet,,,,,
web,share,share.create.passwordMinLength,密码至少4个字符,Password must be at least 4 characters,,,,,
web,share,share.create.pleaseSelectCollection,请至少选择一个收藏,Please select at least one bookmark,,,,,
web,share,share.create.pleaseSelectGroup,请至少选择一个分组,Please select at least one group,,,,,
web,share,share.create.pleaseSelectTag,请至少选择一个标签,Please select at least one tag,,,,,
web,share,share.create.remark,备注（可选）,Note (optional),,,,,
web,share,share.create.remarkPlaceholder,给分享添加说明...,Add a note to this share...,,,,,
web,share,share.create.searchCollections,搜索收藏...,Search bookmarks...,,,,,
web,share,share.create.selectCollections,选择收藏,Select Bookmarks,,,,,
web,share,share.create.selectGroups,选择分组,Select Groups,,,,,
web,share,share.create.selectRange,选择分享范围,Select Share Scope,,,,,
web,share,share.create.selectTags,选择标签,Select Tags,,,,,
web,share,share.create.selectedCount,已选 {count} 个,{count} selected,,,,,
web,share,share.create.settings,分享设置,Share Settings,,,,,
web,share,share.create.shareAll,分享所有,Share all,,,,,
web,share,share.create.shareTitle,分享标题（留空自动生成）,Share Title (auto-generated if empty),,,,,
web,share,share.create.shareTitlePlaceholder,如：我的抖音收藏精选,e.g. My TikTok Favorites,,,,,
web,share,share.create.tag,标签,Tag,,,,,
web,share,share.create.tagShare,标签分享,Tag Share,,,,,
web,share,share.create.tagsShare,{count}个标签分享,{count} Tags Share,,,,,
web,share,share.create.title,创建分享,Create Share,,,,,
web,share,share.create.validity,有效期,Validity,,,,,
web,share,share.createFirst,创建第一个分享,Create your first share,,,,,
web,share,share.createFirstHint,创建第一个分享链接，将内容分享给其他人,Create your first share link to share content with others,,,,,
web,share,share.createShare,创建分享,Create Share,,,,,
web,share,share.deleteCollection,删除合集,Delete Collection,,,,,
web,share,share.deleteCollectionConfirm,"删除合集""{name}""及其中的所有收藏？此操作不可撤销。","Delete collection ""{name}"" and all its bookmarks? This cannot be undone.",,,,,
web,share,share.deleteShareConfirm,确定删除此分享？,Delete this share?,,,,,
web,share,share.disable,停用,Disable,,,,,
web,share,share.disabled,已停用,Disabled,,,,,
web,share,share.enable,启用,Enable,,,,,
web,share,share.encrypted,已加密,Encrypted,,,,,
web,share,share.enterShareCode,粘贴 LinkChest 分享链接，如：http://xxx/s/xxx,"Paste a LinkChest share link, e.g. http://xxx/s/xxx",,,,,
web,share,share.fromShare,来自分享,From Share,,,,,
web,share,share.iCreated,我创建的,Created,,,,,
web,share,share.iReceived,获取的分享,Received,,,,,
web,share,share.itemCount,{count} 个收藏,{count} bookmarks,,,,,
web,share,share.linkCopied,链接已复制到剪贴板,Link copied to clipboard,,,,,
web,share,share.newWindow,新窗口打开,Open in new window,,,,,
web,share,share.noReceived,暂无获取的分享,No received shares yet,,,,,
web,share,share.noShares,暂无分享链接,No share links yet,,,,,
web,share,share.openShare,打开分享,Open Share,,,,,
web,share,share.openShareHint,"点击右上角""打开分享""按钮，输入分享码或链接来获取","Click ""Open Share"" in the top right to enter a share code or link",,,,,
web,share,share.openShareLink,打开,Open,,,,,
web,share,share.password,访问密码：,Password:,,,,,
web,share,share.passwordCopied,密码已复制到剪贴板,Password copied,,,,,
web,share,share.pasteShareLink,粘贴分享链接,Paste share link,,,,,
web,share,share.shareLinks,分享链接,Share Links,,,,,
web,share,share.typeAll,全部收藏,All Collections,,,,,
web,share,share.typeCollection,收藏,Bookmark,,,,,
web,share,share.typeCollections,收藏,Bookmarks,,,,,
web,share,share.typeCustom,自定义收藏,Custom,,,,,
web,share,share.typeGroup,分组,Group,,,,,
web,share,share.typeGroups,分组,Groups,,,,,
web,share,share.typeMultiGroup,多分组,Multi-Group,,,,,
web,share,share.typeMultiTag,多标签,Multi-Tag,,,,,
web,share,share.typeTag,标签,Tag,,,,,
web,share,share.typeTags,标签,Tags,,,,,
web,share,share.unrecognizedShare,无法识别的分享链接,Unrecognized share link,,,,,
web,share,share.view.checkFailed,检查失败，请稍后重试,"Check failed, please try again",,,,,
web,share,share.view.clickToOpen,点击打开,Tap to open,,,,,
web,share,share.view.confirmSave,确认保存,Confirm Save,,,,,
web,share,share.view.contentLocked,内容已加密,Content Locked,,,,,
web,share,share.view.enterPassword,输入访问密码,Enter access password,,,,,
web,share,share.view.generatedBy,由 LinkChest 生成 · 跨平台收藏聚合工具,Generated by LinkChest · Cross-platform Bookmark Manager,,,,,
web,share,share.view.importAlreadyImported,已导入过此分享,Already Imported,,,,,
web,share,share.view.importAlreadyImportedDesc,该分享已保存到「{name}」，不可重复导入。,"This share was already saved to ""{name}"" and cannot be imported again.",,,,,
web,share,share.view.importBtn,确认导入,Confirm Import,,,,,
web,share,share.view.importCollectionLimitReached,收藏数量已达上限,Bookmark Limit Reached,,,,,
web,share,share.view.importCollectionLimitReachedDesc,继续导入将超过收藏上限（{current}/{limit}）。,Importing would exceed your bookmark limit ({current}/{limit}).,,,,,
web,share,share.view.importConfirmDesc,分享共 {total} 个收藏，其中 {duplicate} 个已存在，{new} 个新增。重复收藏将关联到新分组。,"This share has {total} bookmarks. {duplicate} already exist, {new} will be added. Duplicates will be linked to the new group.",,,,,
web,share,share.view.importConfirmTitle,确认导入收藏,Confirm Import,,,,,
web,share,share.view.importListLimitReached,分组数量已达上限,Group Limit Reached,,,,,
web,share,share.view.importListLimitReachedDesc,当前已有 {current}/{limit} 个分组，请先整理后再导入。,You have {current}/{limit} groups. Please organize before importing.,,,,,
web,share,share.view.loading,加载中...,Loading...,,,,,
web,share,share.view.loginToSave,登录后保存到我的收藏,Log in to save to My Collections,,,,,
web,share,share.view.needPassword,需要密码才能保存,Password Required,,,,,
web,share,share.view.needPasswordDesc,该分享已设置密码，请输入密码后保存,This share is password-protected. Enter the password to save.,,,,,
web,share,share.view.noContent,暂无收藏内容,No bookmarks yet,,,,,
web,share,share.view.noCover,无封面,No cover,,,,,
web,share,share.view.passwordRequired,此分享需要密码,Password Required,,,,,
web,share,share.view.passwordRequiredDesc,请输入密码查看完整内容,Please enter the password to view full content,,,,,
web,share,share.view.passwordSet,已设置访问密码,Password set,,,,,
web,share,share.view.passwordUsed,已保存过，无需密码,Already saved,,,,,
web,share,share.view.passwordWrong,密码错误，请重新输入,"Wrong password, please try again",,,,,
web,share,share.view.pleaseEnterPassword,请输入密码,Please enter the password,,,,,
web,share,share.view.saveFailed,保存失败,Save failed,,,,,
web,share,share.view.saveResultEmpty,没有可保存的收藏,Nothing to save,,,,,
web,share,share.view.saveResultSaved,保存成功，新增 {count} 个收藏,Saved — {count} new bookmark(s) added,,,,,
web,share,share.view.saveResultSkipped,所有收藏已存在（{count} 个），已关联到分组,"All {count} already in your library, linked to group",,,,,
web,share,share.view.saveToMyCollections,一键保存到我的收藏,Save to My Collections,,,,,
web,share,share.view.savedToGroup,已保存到分组：{name},Saved to group: {name},,,,,
web,share,share.view.savedToMyCollections,已保存到我的收藏,Saved to My Collections,,,,,
web,share,share.view.shareExpired,该分享链接已过期,This share link has expired,,,,,
web,share,share.view.shareNotFound,分享链接不存在或已失效,Share link not found or expired,,,,,
web,share,share.view.validUntil,有效期至 {date},Valid until {date},,,,,
web,share,share.view.verifyPassword,验证密码,Verify Password,,,,,
web,share,share.viewCount,{count} 次浏览,{count} views,,,,,
web,share,share.viewShare,查看分享,View Share,,,,,
web,sidebar,sidebar.account,用户,User,,,,,
web,sidebar,sidebar.accountCenter,个人中心,Account Center,,,,,
web,sidebar,sidebar.addCollection,添加收藏,Add Bookmark,,,,,
web,sidebar,sidebar.appName,链藏,LinkChest,,,,,
web,sidebar,sidebar.collapse,收起侧边栏,Collapse,,,,,
web,sidebar,sidebar.collections,收藏,Collections,,,,,
web,sidebar,sidebar.darkMode,深色模式,Dark Mode,,,,,
web,sidebar,sidebar.expand,展开侧边栏,Expand,,,,,
web,sidebar,sidebar.groups,分组,Groups,,,,,
web,sidebar,sidebar.lightMode,浅色模式,Light Mode,,,,,
web,sidebar,sidebar.logout,退出登录,Log Out,,,,,
web,sidebar,sidebar.settings,设置,Settings,,,,,
web,sidebar,sidebar.shares,分享,Shares,,,,,
web,sidebar,sidebar.subtitle,跨平台收藏管理,Cross-platform Bookmark Manager,,,,,
web,sidebar,sidebar.tags,标签,Tags,,,,,
web,sidebar,sidebar.tier,等级,Tier,,,,,
web,sidebar,sidebar.tierManagement,等级管理,Tier Management,,,,,
web,tag,tag.add,添加,Add,,,,,
web,tag,tag.allTags,全部标签,All Tags,,,,,
web,tag,tag.collectionCount,{count} 个收藏,{count} bookmarks,,,,,
web,tag,tag.coverPreview,封面预览,Cover Preview,,,,,
web,tag,tag.defaultCover,默认封面,Default Cover,,,,,
web,tag,tag.deleteConfirm,确定删除此标签？,Delete this tag?,,,,,
web,tag,tag.editTag,编辑标签,Edit Tag,,,,,
web,tag,tag.management,标签管理,Tag Management,,,,,
web,tag,tag.newTag,新建标签,New Tag,,,,,
web,tag,tag.noTags,暂无标签,No tags yet,,,,,
web,tag,tag.save,保存,Save,,,,,
web,tag,tag.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）","Tag ""{name}"" already exists. Create anyway? (will auto-rename)",,,,,
web,tag,tag.tagName,标签名称,Tag Name,,,,,
web,tag,tag.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{newName}""","Tag ""{originalName}"" already exists, auto-renamed to ""{newName}""",,,,,
web,tag,tag.viewInCollections,在收藏页查看,View in Collections,,,,,
web,terms,terms.title,服务条款,Terms of Service,,,,,
web,tier,tier.backToTier,返回等级详情,Back to Tier,,,,,
web,tier,tier.benefits,权益说明,Benefits,,,,,
web,tier,tier.collections,收藏,Collections,,,,,
web,tier,tier.comparePlans,套餐对比,Compare Plans,,,,,
web,tier,tier.coverImages,封面,Covers,,,,,
web,tier,tier.current,当前使用,Current,,,,,
web,tier,tier.currentPlan,当前套餐,Current Plan,,,,,
web,tier,tier.free,免费,Free,,,,,
web,tier,tier.limits,配额详情,Quota Details,,,,,
web,tier,tier.lists,分组,Groups,,,,,
web,tier,tier.monthly,月付,Monthly,,,,,
web,tier,tier.perMonth,{price}/月,{price}/mo,,,,,
web,tier,tier.perYear,{price}/年,{price}/yr,,,,,
web,tier,tier.pricing,价格,Pricing,,,,,
web,tier,tier.recommended,推荐,Recommended,,,,,
web,tier,tier.shareItems,分享项,Share Items,,,,,
web,tier,tier.shares,分享,Shares,,,,,
web,tier,tier.tags,标签,Tags,,,,,
web,tier,tier.title,我的等级,My Tier,,,,,
web,tier,tier.upgrade,升级套餐,Upgrade Plan,,,,,
web,tier,tier.upgradeHint,升级以解锁更多功能,Upgrade to unlock more features,,,,,
web,tier,tier.yearly,年付,Yearly,,,,,
mobile,account,account.avatarDeleteFailed,头像删除失败,Failed to delete avatar,,,,,
mobile,account,account.avatarDeleted,头像已删除,Avatar deleted,,,,,
mobile,account,account.avatarUpdated,头像更新成功,Avatar updated,,,,,
mobile,account,account.avatarUploadFailed,头像上传失败,Avatar upload failed,,,,,
mobile,account,account.bindEmail,绑定邮箱,Bind Email,,,,,
mobile,account,account.changeAvatar,更换头像,Change Avatar,,,,,
mobile,account,account.changeEmail,修改邮箱,Change Email,,,,,
mobile,account,account.changePassword,修改密码,Change Password,,,,,
mobile,account,account.changePasswordFailed,修改密码失败,Failed to change password,,,,,
mobile,account,account.changePhone,换绑手机号,Change Phone,,,,,
mobile,account,account.changePhoneBtn,换绑,Change,,,,,
mobile,account,account.chooseFromAlbum,从相册选择,Choose from Album,,,,,
mobile,account,account.codeSent,验证码已发送,Verification code sent,,,,,
mobile,account,account.confirmNewPassword,确认新密码,Confirm New Password,,,,,
mobile,account,account.deleteAvatar,删除头像,Delete Avatar,,,,,
mobile,account,account.deleteAvatarBtn,删除头像,Delete Avatar,,,,,
mobile,account,account.deleteAvatarConfirm,确定要删除头像吗？将恢复默认头像。,Are you sure you want to delete your avatar? It will be reset to default.,,,,,
mobile,account,account.email,邮箱,Email,,,,,
mobile,account,account.emailBound,邮箱绑定成功,Email bound successfully,,,,,
mobile,account,account.enterCode,验证码,Verification Code,,,,,
mobile,account,account.enterEmail,请输入邮箱地址,Enter email address,,,,,
mobile,account,account.enterEmailHint,请输入邮箱,Please enter an email,,,,,
mobile,account,account.enterServerAddress,请输入服务器地址,Please enter server address,,,,,
mobile,account,account.enterUsername,请输入用户名,Please enter a username,,,,,
mobile,account,account.fillComplete,请填写完整,Please fill in all fields,,,,,
mobile,account,account.googleEmailLocked,Google 登录邮箱不可修改,Google login email cannot be changed,,,,,
mobile,account,account.needPhotoPermission,需要相册权限才能选择头像,Photo library permission is required to select an avatar,,,,,
mobile,account,account.newPassword,新密码,New Password,,,,,
mobile,account,account.newPhone,新手机号,New Phone Number,,,,,
mobile,account,account.nicknameFallback,Google 用户,Google User,,,,,
mobile,account,account.notBound,未绑定,Not bound,,,,,
mobile,account,account.notSet,未设置,Not set,,,,,
mobile,account,account.oldPassword,旧密码,Old Password,,,,,
mobile,account,account.password,密码,Password,,,,,
mobile,account,account.passwordChangedSuccess,密码修改成功,Password changed successfully,,,,,
mobile,account,account.passwordHint,至少8位，包含英文大小写和数字,"At least 8 chars with uppercase, lowercase, and numbers",,,,,
mobile,account,account.passwordMismatch,两次密码不一致,Passwords do not match,,,,,
mobile,account,account.passwordSetSuccess,密码设置成功,Password set successfully,,,,,
mobile,account,account.resetDefault,恢复默认,Reset Default,,,,,
mobile,account,account.selectFromCover,从封面选择,Select from Cover,,,,,
mobile,account,account.sendCodeFailed,发送验证码失败,Failed to send verification code,,,,,
mobile,account,account.serverAddress,服务器地址,Server Address,,,,,
mobile,account,account.serverExample,例如：http://192.168.0.104:3001,e.g. http://192.168.0.104:3001,,,,,
mobile,account,account.serverHint,输入服务器地址（不含 /api 后缀）,Enter server address (without /api suffix),,,,,
mobile,account,account.serverReset,已恢复默认服务器地址,Server address reset to default,,,,,
mobile,account,account.serverResetFailed,重置失败,Failed to reset,,,,,
mobile,account,account.serverSetFailed,设置失败,Failed to set,,,,,
mobile,account,account.serverUpdated,服务器地址已更新，请重新登录,"Server address updated, please log in again",,,,,
mobile,account,account.serverWarning,高级设置，修改后可能无法连接,Advanced: incorrect settings may break connectivity,,,,,
mobile,account,account.serverWarningDetail,⚠️ 仅在开发调试时修改，错误配置将导致无法连接服务器,⚠️ Only modify for development. Incorrect config will prevent server connection,,,,,
mobile,account,account.set,已设置,Set,,,,,
mobile,account,account.setPassword,设置密码,Set Password,,,,,
mobile,account,account.setPasswordFailed,设置密码失败,Failed to set password,,,,,
mobile,account,account.setUsername,设置用户名,Set Username,,,,,
mobile,account,account.takePhoto,拍照,Take Photo,,,,,
mobile,account,account.tapToChangeAvatar,点击更换头像,Tap to change avatar,,,,,
mobile,account,account.username,用户名,Username,,,,,
mobile,account,account.usernameChanged,用户名修改成功,Username changed successfully,,,,,
mobile,account,account.usernamePlaceholder,2-20位字母、数字、下划线或中文,"2-20 letters, numbers, underscores or Chinese",,,,,
mobile,account,account.verificationCode,验证码,Code,,,,,
mobile,account,account.yourCodeIs,您的验证码是：{code}<br>（当前无短信服务，验证码直接显示）,"Your code: {code}<br>(SMS not configured, code shown here)",,,,,
mobile,add,add.addFailed,添加失败,Failed to add,,,,,
mobile,add,add.addedSuccess,收藏已添加,Collection added,,,,,
mobile,add,add.autoDetectedAs,已识别：{platform},Identified: {platform},,,,,
mobile,add,add.canStillSave,（仍可保存）,(can still save),,,,,
mobile,add,add.collapseMorePlatforms,收起更多平台,Collapse More Platforms,,,,,
mobile,add,add.coverImagePlaceholder,封面URL（可选）,Cover URL (optional),,,,,
mobile,add,add.createGroup,创建分组,Create Group,,,,,
mobile,add,add.createTag,创建标签,Create Tag,,,,,
mobile,add,add.detected,已检测到平台信息,Platform info detected,,,,,
mobile,add,add.duplicateWarning,该链接已收藏过：{title},This link has been saved before: {title},,,,,
mobile,add,add.enterTitle,输入标题,Enter title,,,,,
mobile,add,add.groupNamePlaceholder,输入分组名,Enter group name,,,,,
mobile,add,add.levelPlatforms,级平台,-Tier Platforms,,,,,
mobile,add,add.linkOrShareText,内容链接 *,Content Link *,,,,,
mobile,add,add.noTitle,无标题,No title,,,,,
mobile,add,add.noteField,备注（可选）,Note (optional),,,,,
mobile,add,add.parseFailed,链接解析失败,Link parsing failed,,,,,
mobile,add,add.parseResultEmpty,解析结果为空,Parse result is empty,,,,,
mobile,add,add.pasteLinkPlaceholder,粘贴链接或APP分享文本,Paste link or app share text,,,,,
mobile,add,add.platformCount,等{count}个平台,{count} more platforms,,,,,
mobile,add,add.pleaseEnterLinkAndTitle,请填写链接和标题,Please fill in the link and title,,,,,
mobile,add,add.quickSelectPlatform,快速选择平台,Quick Select Platform,,,,,
mobile,add,add.saveCollection,保存收藏,Save Collection,,,,,
mobile,add,add.selectGroup,选择分组,Select Group,,,,,
mobile,add,add.selectTags,选择标签,Select Tags,,,,,
mobile,add,add.selectedTags,已选,Selected,,,,,
mobile,add,add.supportedPlatforms,支持的平台,Supported Platforms,,,,,
mobile,add,add.tagNamePlaceholder,输入标签名,Enter tag name,,,,,
mobile,add,add.tags,标签,Tags,,,,,
mobile,add,add.titleDuplicateWarning,已存在同名收藏：{title},A collection with this name already exists: {title},,,,,
mobile,add,add.titleField,标题 *,Title *,,,,,
mobile,add,add.viewMorePlatforms,查看更多平台,View More Platforms,,,,,
mobile,app,app.name,链藏,LinkChest,,,,,
mobile,app,app.nameEn,LinkChest,LinkChest,,,,,
mobile,app,app.subtitle,收藏并分享你的宝藏,Collect and share your treasures,,,,,
mobile,app,app.subtitleEn,Collect and share your treasures,Collect and share your treasures,,,,,
mobile,collection,collection.add,添加收藏,Add Bookmark,,,,,
mobile,collection,collection.addFailed,添加失败,Add failed,,,,,
mobile,collection,collection.addFirst,点击右下角添加,Tap the button below to add,,,,,
mobile,collection,collection.addTag,加标签,Add Tag,,,,,
mobile,collection,collection.addTagFailed,添加失败,Failed to add,,,,,
mobile,collection,collection.addTagTitle,添加标签,Add Tag,,,,,
mobile,collection,collection.addToTag,添加收藏到 #{name},Add collections to #{name},,,,,
mobile,collection,collection.addToTagBtn,添加到标签,Add to Tag,,,,,
mobile,collection,collection.added,收藏已添加,Collection added,,,,,
mobile,collection,collection.addedTag,已添加标签 #{name},Added tag #{name},,,,,
mobile,collection,collection.addedTime,添加时间,Added Time,,,,,
mobile,collection,collection.applyFilter,应用筛选,Apply Filter,,,,,
mobile,collection,collection.batchAddTags,批量添加标签,Batch Add Tags,,,,,
mobile,collection,collection.batchDeleteConfirm,确定要删除选中的 {count} 个收藏吗？,Are you sure you want to delete {count} selected collections?,,,,,
mobile,collection,collection.batchManage,批量管理,Batch Manage,,,,,
mobile,collection,collection.batchMoveToGroup,批量移动到分组,Batch Move to Group,,,,,
mobile,collection,collection.cancel,取消,Cancel,,,,,
mobile,collection,collection.cannotOpenLink,无法打开此链接，请尝试手动复制打开,Cannot open this link. Please try copying it manually,,,,,
mobile,collection,collection.clear,清除,Clear,,,,,
mobile,collection,collection.clearFilter,清除筛选,Clear Filter,,,,,
mobile,collection,collection.collapse,收起,Collapse,,,,,
mobile,collection,collection.confirm,确认,Confirm,,,,,
