key,web_zh,mobile_zh
settings.noStatsHint,暂无平台统计数据,
settings.noTags,暂无标签,
settings.noTagsHint,用标签给你的收藏打上关键词吧,
settings.noValidData,未找到有效的收藏数据,
settings.platformStats,平台统计,
settings.shareViews,分享浏览,
settings.shares,分享,
settings.stats,数据统计,
settings.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）",
settings.tagManagement,标签管理,
settings.tagName,标签名称,
settings.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{newName}""",
settings.tags,标签,
settings.title,收藏设置,
settings.viewAll,,查看全部
share.author,,作者
share.clipboardDetected,,检测到分享链接
share.clipboardDetectedDesc,,剪贴板中包含 LinkChest 分享，是否立即查看？
share.collectionDeleted,,合集已删除
share.copy,复制,复制
share.copyFailed,复制失败,复制失败
share.copyLink,复制链接,
share.copyPassword,,复制
share.create.1day,1天,
share.create.1hour,1小时,1小时
share.create.1week,1周,
share.create.24hours,,24小时
share.create.7days,,7天
share.create.accessPassword,访问密码（可选）,访问密码（可选）
share.create.accessPasswordLabel,,访问密码
share.create.advancedSettings,,高级设置
share.create.allCollections,全部收藏,全部收藏
share.create.cancel,取消,
share.create.collection,收藏,收藏
share.create.collectionShare,{count}个收藏分享,{count}个收藏分享
share.create.copyFailed,复制失败，请手动复制链接,
share.create.copyLink,复制链接,复制链接
share.create.copyToShare,复制下方链接分享给朋友,
share.create.createFailed,创建分享失败,创建失败
share.create.done,完成,完成
share.create.forever,永久,永久
share.create.generateLink,生成分享链接,生成分享链接
share.create.group,分组,分组
share.create.groupShare,分组分享,分组分享
share.create.groupsShare,{count}个分组分享,{count}个分组分享
share.create.linkCopied,链接已复制,
share.create.linkGenerated,分享链接已生成,分享链接已生成
share.create.multiSelectCollections,多选收藏,多选收藏
share.create.multiSelectGroups,多选分组,多选分组
share.create.multiSelectTags,多选标签,多选标签
share.create.noCollections,暂无收藏,暂无收藏
share.create.noGroups,暂无分组,
share.create.noMatchCollections,未找到匹配的收藏,未找到匹配的收藏
share.create.noPasswordPublic,不设密码则公开访问,
share.create.noTags,暂无标签,
share.create.passwordMinLength,密码至少4个字符,
share.create.passwordPlaceholder,,4-20位密码
share.create.passwordSet,,已设置访问密码
share.create.pleaseSelectCollection,请至少选择一个收藏,请至少选择一个收藏
share.create.pleaseSelectGroup,请至少选择一个分组,请至少选择一个分组
share.create.pleaseSelectTag,请至少选择一个标签,请至少选择一个标签
share.create.remark,备注（可选）,备注说明（可选）
share.create.remarkPlaceholder,给分享添加说明...,给分享添加备注...
share.create.searchCollections,搜索收藏...,搜索收藏...
share.create.selectCollections,选择收藏,选择收藏
share.create.selectGroups,选择分组,选择分组
share.create.selectRange,选择分享范围,选择分享范围
share.create.selectTags,选择标签,选择标签
share.create.selectedCount,已选 {count} 个,已选 {count} 个
share.create.settings,分享设置,
share.create.shareAll,分享所有,分享所有
share.create.shareName,,分享名称
share.create.shareNamePlaceholder,,给分享取个名字（可选）
share.create.shareTitle,分享标题（留空自动生成）,
share.create.shareTitlePlaceholder,如：我的抖音收藏精选,
share.create.tag,标签,标签
share.create.tagShare,标签分享,标签分享
share.create.tagsShare,{count}个标签分享,{count}个标签分享
share.create.title,创建分享,创建分享
share.create.validity,有效期,有效期
share.create.validityPeriod,,有效期：{period}
share.create.viewPasswordAnytime,,您可随时在分享管理中查看密码
share.createFirst,创建第一个分享,
share.createFirstHint,创建第一个分享链接，将内容分享给其他人,点击右下角创建分享
share.createShare,创建分享,创建分享
share.deleteCollection,删除合集,
share.deleteCollectionConfirm,"删除合集""{name}""及其中的所有收藏？此操作不可撤销。","删除合集""{name}""及其中的所有收藏？此操作不可撤销。"
share.deleteShareConfirm,确定删除此分享？,"删除后分享链接将失效，确定要删除""{title}""吗？"
share.disable,停用,停用
share.disabled,已停用,已停用
share.enable,启用,启用
share.encrypted,已加密,
share.enterShareCode,粘贴 LinkChest 分享链接，如：http://xxx/s/xxx,粘贴 LinkChest 分享链接，即可查看内容
share.fromShare,来自分享,来自分享
share.fromShareLabel,,来自分享
share.iCreated,我创建的,我创建的
share.iReceived,获取的分享,获取的分享
share.importShare,,一键导入
share.itemCount,{count} 个收藏,{count} 个收藏
share.linkCopied,链接已复制到剪贴板,分享链接已生成
share.management.deleteFailed,,删除失败
share.management.passwordAccess,,密码：{password}
share.management.shareLinkDeleted,,分享链接已删除
share.newWindow,新窗口打开,
share.noReceived,暂无获取的分享,暂无获取的分享
share.noShares,暂无分享链接,暂无分享链接
share.openBtn,,打开
share.openShare,打开分享,打开分享
share.openShareHint,"点击右上角""打开分享""按钮，输入分享码或链接来获取",
share.openShareLink,打开,打开分享链接
share.password,访问密码：,密码：{password}
share.passwordCopied,密码已复制到剪贴板,密码已复制
share.pasteShareLink,粘贴分享链接,粘贴分享链接
share.pleaseInputLink,,请输入链接
share.receivedFromOthers,,从其他用户的分享中保存
share.selfShareHint,,这是您自己创建的分享，无需在此打开
share.shareLinkDeleted,,分享链接已删除
share.shareLinks,分享链接,分享链接
share.shareNotExist,,该分享不存在或已失效
share.typeAll,全部收藏,全部收藏
share.typeCollection,收藏,收藏
share.typeCollections,收藏,多收藏
share.typeCustom,自定义收藏,自定义
share.typeGroup,分组,分组
share.typeGroups,分组,分组
share.typeMultiGroup,多分组,多分组
share.typeMultiTag,多标签,多标签
share.typeTag,标签,标签
share.typeTags,标签,标签
share.unrecognizedShare,无法识别的分享链接,未检测到 LinkChest 分享链接，请输入正确的分享链接
share.unrecognizedTitle,,无法识别
share.uvCount,,{count} 次浏览
share.view.checkFailed,检查失败，请稍后重试,检查失败，请稍后重试
share.view.clickToOpen,点击打开,点击打开
share.view.confirmSave,确认保存,确认保存
share.view.contentLocked,内容已加密,内容已加密
share.view.enterPassword,输入访问密码,输入访问密码
share.view.generatedBy,由 LinkChest 生成 · 跨平台收藏聚合工具,由 LinkChest 生成
share.view.importAlreadyImported,已导入过此分享,已导入过此分享
share.view.importAlreadyImportedDesc,该分享已保存到「{name}」，不可重复导入。,该分享已保存到「{name}」，不可重复导入。
share.view.importBtn,确认导入,确认导入
share.view.importCollectionLimitReached,收藏数量已达上限,收藏数量已达上限
share.view.importCollectionLimitReachedDesc,继续导入将超过收藏上限（{current}/{limit}）。,继续导入将超过收藏上限（{current}/{limit}）。
share.view.importConfirmDesc,分享共 {total} 个收藏，其中 {duplicate} 个已存在，{new} 个新增。重复收藏将关联到新分组。,分享共 {total} 个收藏，其中 {duplicate} 个已存在，{new} 个新增。重复收藏将关联到新分组。
share.view.importConfirmTitle,确认导入收藏,确认导入收藏
share.view.importListLimitReached,分组数量已达上限,分组数量已达上限
share.view.importListLimitReachedDesc,当前已有 {current}/{limit} 个分组，请先整理后再导入。,当前已有 {current}/{limit} 个分组，请先整理后再导入。
share.view.loadFailed,,加载失败
share.view.loading,加载中...,加载中...
share.view.loginToSave,登录后保存到我的收藏,
share.view.needPassword,需要密码才能保存,需要密码才能保存
share.view.needPasswordDesc,该分享已设置密码，请输入密码后保存,该分享已设置密码，请输入密码后保存
share.view.noContent,暂无收藏内容,暂无收藏内容
share.view.noContentHint,,此分享暂无收藏内容
share.view.noCover,无封面,
share.view.openFailed,,无法打开此链接，请尝试手动复制打开
share.view.passwordRequired,此分享需要密码,此分享需要密码
share.view.passwordRequiredDesc,请输入密码查看完整内容,请输入密码查看完整内容
share.view.passwordSet,已设置访问密码,已设置密码
share.view.passwordUsed,已保存过，无需密码,
share.view.passwordWrong,密码错误，请重新输入,密码错误，请重新输入
share.view.pleaseEnterPassword,请输入密码,请输入密码
share.view.saveFailed,保存失败,保存失败
share.view.saveResultEmpty,没有可保存的收藏,
share.view.saveResultSaved,保存成功，新增 {count} 个收藏,
share.view.saveResultSkipped,所有收藏已存在（{count} 个），已关联到分组,
share.view.saveToMyCollections,一键保存到我的收藏,一键保存到我的收藏
share.view.savedToGroup,已保存到分组：{name},
share.view.savedToMyCollections,已保存到我的收藏,
share.view.savedToNewGroup,,已保存到新分组
share.view.shareExpired,该分享链接已过期,分享已过期
share.view.shareExpiredDesc,,该分享链接已超过有效期
share.view.shareNotFound,分享链接不存在或已失效,分享链接不存在或已失效
share.view.shareThisLink,,分享此链接
share.view.undo,,撤销
share.view.validUntil,有效期至 {date},有效期至 {date}
share.view.verifyPassword,验证密码,验证密码
share.viewCount,{count} 次浏览,{count} 次浏览
share.viewShare,查看分享,查看
sidebar.account,用户,
sidebar.accountCenter,个人中心,
sidebar.addCollection,添加收藏,
sidebar.appName,链藏,
sidebar.collapse,收起侧边栏,
sidebar.collections,收藏,
sidebar.darkMode,深色模式,
sidebar.expand,展开侧边栏,
sidebar.groups,分组,
sidebar.lightMode,浅色模式,
sidebar.logout,退出登录,
sidebar.settings,设置,
sidebar.shares,分享,
sidebar.subtitle,跨平台收藏管理,
sidebar.tags,标签,
sidebar.tier,等级,
sidebar.tierManagement,等级管理,
tag.add,添加,
tag.allTags,全部标签,
tag.collectionCount,{count} 个收藏,{count} 个收藏
tag.confirmDeleteTag,,"删除标签""{name}""？该标签将从所有收藏中移除。"
tag.continueCreate,,继续创建
tag.coverPreview,封面预览,
tag.createFailed,,创建失败
tag.defaultCover,默认封面,
tag.deleteConfirm,确定删除此标签？,
tag.editTag,编辑标签,编辑标签
tag.enterTagName,,请输入标签名称
tag.management,标签管理,
tag.nameDuplicate,,名称重复
tag.nameExists,,"标签""{name}""已存在，是否继续创建？（将自动重命名）"
tag.newTag,新建标签,新建标签
tag.noTags,暂无标签,暂无标签
tag.noTagsHint,,用标签给你的收藏打上关键词
tag.save,保存,
tag.tagExists,"标签""{name}""已存在，是否继续创建？（将自动重命名）",
tag.tagName,标签名称,标签名称
tag.tagNameExistsAuto,"标签名""{originalName}""已存在，已自动重命名为""{newName}""","标签名""{originalName}""已存在，已自动重命名为""{name}"""
tag.updateFailed,,更新失败
tag.viewInCollections,在收藏页查看,
terms.title,服务条款,服务条款
terms.titleAndPrivacy,,服务条款&隐私政策
tier.backToTier,返回等级详情,
tier.benefits,权益说明,权益说明
tier.collections,收藏,收藏数量
tier.comparePlans,套餐对比,套餐对比
tier.coverImages,封面,封面数量
tier.current,当前使用,当前
tier.currentPlan,当前套餐,当前套餐
tier.dailyImportLimit,每日导入上限,每日导入上限
tier.expires,,到期
tier.free,免费,免费
tier.limits,配额详情,配额详情
tier.lists,分组,分组数量
tier.maxItemsPerShare,单次分享上限,单次分享上限
tier.monthly,月付,月付
tier.perMonth,{price}/月,/月
tier.perYear,{price}/年,/年
tier.pricing,价格,
tier.recommended,推荐,
tier.shareItems,分享项,分享项数量
tier.shares,分享,分享数量
tier.tags,标签,标签数量
tier.tierManagement,,等级管理
tier.title,我的等级,等级与套餐
tier.upgrade,升级套餐,升级套餐
tier.upgradeHint,升级以解锁更多功能,选择适合你的套餐
tier.yearly,年付,年付
